unit_number,time_in_cycles,operational_setting_1,operational_setting_2,operational_setting_3,sensor_1,sensor_2,sensor_3,sensor_4,sensor_5,sensor_6,sensor_7,sensor_8,sensor_9,sensor_10,sensor_11,sensor_12,sensor_13,sensor_14,sensor_15,sensor_16,sensor_17,sensor_18,sensor_19,sensor_20,sensor_21,max_cycle,RUL,cycle_ratio,near_failure,capped_RUL,life_stage,sensor_11_roll20,sensor_4_roll20,sensor_12_roll20,sensor_7_roll20,sensor_15_roll20,sensor_21_roll20,sensor_20_roll20,sensor_2_roll20,sensor_17_roll20,sensor_3_roll20,sensor_11_slope20,sensor_4_slope20,sensor_12_slope20,sensor_11_std20,sensor_4_std20,sensor_12_std20,sensor_11_min20,sensor_11_max20,sensor_4_min20,sensor_4_max20,sensor_4_x_sensor_11,sensor_11_lag1,sensor_11_lag5,sensor_11_lag10,sensor_4_lag1,sensor_4_lag5,sensor_4_lag10,sensor_12_lag1,sensor_12_lag5,sensor_12_lag10,setting1_change,setting2_change,baseline_deviation,sensor_11_ewma_a01,sensor_11_ewma_a03,sensor_4_ewma_a01,sensor_4_ewma_a03,pca_score_1,pca_score_2,time_since_anomaly_s11
1,1,-0.0007,-0.0004,100.0,518.67,641.82,1589.7,1400.6,14.62,21.61,554.36,2388.06,9046.19,1.3,47.47,521.66,2388.02,8138.62,8.4195,0.03,392,2388,100.0,39.06,23.419,192,191,0.005208333333333333,0,125,early,47.47,1400.6,521.66,554.36,8.4195,23.419,39.06,641.82,392.0,1589.7,0.003011278195487602,0.07798120300749395,-0.010575187969936083,0.11280297650798493,3.6770507063414053,0.3016600552988882,47.22,47.64,1395.57,1411.625,0.2467190440886573,47.45,47.45,47.44,1404.46,1404.42,1404.205,521.6,521.62,521.635,0.0,0.0,2.3157075149534783,47.47,47.47,1400.6,1400.6,-2.6497953539012458,0.8001474355462682,1
1,2,0.0019,-0.0003,100.0,518.67,642.15,1591.82,1403.14,14.62,21.61,553.75,2388.04,9044.07,1.3,47.49,522.28,2388.07,8131.49,8.4318,0.03,392,2388,100.0,39.0,23.4236,192,190,0.010416666666666666,0,125,early,47.480000000000004,1401.87,521.97,554.0550000000001,8.425650000000001,23.421300000000002,39.03,641.985,392.0,1590.76,0.003011278195487602,0.07798120300749395,-0.010575187969936083,0.11280297650798493,3.6770507063414053,0.3016600552988882,47.22,47.64,1395.57,1411.625,0.1233209063029593,47.47,47.45,47.44,1400.6,1404.42,1404.205,521.66,521.62,521.635,0.0026,0.00010000000000000005,5.254972541014247,47.472,47.476,1400.854,1401.3619999999999,-2.0938101491397205,0.9140977001256811,2
1,3,-0.0043,0.0003,100.0,518.67,642.35,1587.99,1404.2,14.62,21.61,554.26,2388.08,9052.94,1.3,47.27,522.42,2388.03,8133.23,8.4178,0.03,390,2388,100.0,38.95,23.3442,192,189,0.015625,0,125,early,47.410000000000004,1402.6466666666668,522.12,554.1233333333333,8.423033333333334,23.3956,39.00333333333334,642.1066666666667,391.3333333333333,1589.8366666666668,-0.0999999999999997,1.8000000000001155,0.3800000000000155,0.12165525060596487,1.8500090089872667,0.4044749683230884,47.27,47.49,1400.6,1404.2,0.5339760809235992,47.49,47.45,47.44,1403.14,1404.42,1404.205,522.28,521.62,521.635,0.0062,0.0006,4.563869135008124,47.451800000000006,47.414199999999994,1401.1886000000002,1402.2133999999999,-2.8320696349552783,0.4447958869226504,3
1,4,0.0007,0.0,100.0,518.67,642.35,1582.79,1401.87,14.62,21.61,554.45,2388.11,9049.48,1.3,47.13,522.86,2388.08,8133.83,8.3682,0.03,392,2388,100.0,38.88,23.3739,192,188,0.020833333333333332,0,125,early,47.34,1402.4524999999999,522.305,554.205,8.409324999999999,23.390175,38.972500000000004,642.1675,391.5,1588.075,-0.1239999999999971,0.48699999999995786,0.37400000000001965,0.17165857586111713,1.5596447245020688,0.4959502663237833,47.13,47.49,1400.6,1404.2,1.208179985936971,47.27,47.45,47.44,1404.2,1404.42,1404.205,522.42,521.62,521.635,0.005,0.0003,5.161220027552609,47.41962000000001,47.328939999999996,1401.25674,1402.1103799999999,-3.6082745552745736,-0.32783938375229726,4
1,5,-0.0019,-0.0002,100.0,518.67,642.37,1582.85,1406.22,14.62,21.61,554.0,2388.06,9055.15,1.3,47.28,522.19,2388.04,8133.8,8.4294,0.03,393,2388,100.0,38.9,23.4044,192,187,0.026041666666666668,0,125,early,47.328,1403.206,522.2819999999999,554.164,8.41334,23.39302,38.958000000000006,642.208,391.8,1587.03,-0.07400000000000181,0.9969999999998419,0.16399999999999992,0.1510629008062543,2.1594397421554934,0.4325736931436925,47.13,47.49,1400.6,1406.22,0.29482887822796866,47.13,47.45,47.44,1401.87,1404.42,1404.205,522.86,521.62,521.635,0.0026,0.0002,7.791413392456235,47.40565800000001,47.314257999999995,1401.7530660000002,1403.3432659999999,-2.1879376493117784,-0.674547600371718,5
1,6,-0.0043,-0.0001,100.0,518.67,642.1,1584.47,1398.37,14.62,21.61,554.67,2388.02,9049.68,1.3,47.16,521.68,2388.03,8132.85,8.4108,0.03,391,2388,100.0,38.98,23.3669,192,186,0.03125,0,125,early,47.300000000000004,1402.3999999999999,522.1816666666667,554.2483333333333,8.412916666666666,23.388666666666666,38.961666666666666,642.19,391.6666666666667,1586.6033333333332,-0.06628571428571639,-0.12114285714295317,0.007714285714304546,0.15152557539900852,2.7619485875013043,0.4583630293410103,47.13,47.49,1398.37,1406.22,1.6749850075105515,47.28,47.47,47.44,1406.22,1400.6,1404.205,522.19,521.66,521.635,0.0024000000000000002,0.0001,3.736203854289746,47.38109220000001,47.267980599999994,1401.4147594000003,1401.8512861999998,-3.302931481564189,-0.0021359857865636874,6
1,7,0.001,0.0001,100.0,518.67,642.48,1592.32,1397.77,14.62,21.61,554.34,2388.02,9059.13,1.3,47.36,522.32,2388.03,8132.32,8.3974,0.03,392,2388,100.0,39.1,23.3774,192,185,0.036458333333333336,0,125,early,47.30857142857143,1401.7385714285715,522.2014285714286,554.2614285714286,8.4107,23.387057142857145,38.98142857142857,642.2314285714285,391.7142857142857,1587.42,-0.035000000000000496,-0.5717857142857937,0.019642857142904688,0.14016996485559763,3.069101000681005,0.4216803122203899,47.13,47.49,1397.77,1406.22,0.8413333040393135,47.16,47.49,47.44,1398.37,1403.14,1404.205,521.68,522.28,521.635,0.0053,0.0002,5.32052450410778,47.37898298000001,47.29558641999999,1401.0502834600004,1400.6269003399998,-2.799305948052699,1.084739434207396,7
1,8,-0.0034,0.0003,100.0,518.67,642.56,1582.96,1400.97,14.62,21.61,553.85,2388.0,9040.8,1.3,47.24,522.47,2388.03,8131.07,8.4076,0.03,391,2388,100.0,38.97,23.3106,192,184,0.041666666666666664,0,125,early,47.3,1401.6425,522.235,554.21,8.4103125,23.3775,38.980000000000004,642.2725,391.625,1586.8625,-0.029047619047620217,-0.4452380952381971,0.03547619047617156,0.13201731488169208,2.854398860906267,0.40178174601214184,47.13,47.49,1397.77,1406.22,0.9977076177531545,47.36,47.27,47.44,1397.77,1404.2,1404.205,522.32,522.42,521.635,0.004399999999999999,0.00019999999999999998,4.801345736090697,47.36508468200002,47.27891049399999,1401.0422551140005,1400.7298302379997,-2.8008190622741496,-0.49061857072646176,8
1,9,0.0008,0.0001,100.0,518.67,642.12,1590.98,1394.8,14.62,21.61,553.69,2388.05,9046.46,1.3,47.29,521.79,2388.05,8125.69,8.3728,0.03,392,2388,100.0,39.05,23.4066,192,183,0.046875,0,125,early,47.29888888888889,1400.8822222222223,522.1855555555555,554.1522222222222,8.406144444444443,23.380733333333335,38.98777777777778,642.2555555555556,391.6666666666667,1587.32,-0.020999999999998575,-0.7678333333332769,-0.0048333333333007425,0.12353586973471097,3.5116014073987114,0.4040455144878951,47.13,47.49,1394.8,1406.22,1.4767189399284237,47.24,47.13,47.44,1400.97,1401.87,1404.205,522.47,522.86,521.635,0.0042,0.00019999999999999998,6.338626604147845,47.357576213800016,47.282237345799984,1400.4180296026004,1398.9508811665999,-3.0021768165313394,0.9941602713159098,9
1,10,-0.0033,0.0001,100.0,518.67,641.71,1591.24,1400.46,14.62,21.61,553.59,2388.05,9051.7,1.3,47.03,521.79,2388.06,8129.38,8.4286,0.03,393,2388,100.0,38.95,23.4694,192,182,0.052083333333333336,0,125,early,47.272000000000006,1400.84,522.146,554.096,8.40839,23.3896,38.984,642.201,391.8,1587.712,-0.029939393939393395,-0.5814545454545132,-0.025090909090897576,0.14420664185659335,3.313460762137131,0.4009488745463927,47.03,47.49,1394.8,1406.22,1.8018389079636472,47.29,47.28,47.44,1394.8,1406.22,1404.205,521.79,522.19,521.635,0.0041,0.0,3.9510431569581455,47.324818592420016,47.20656614205999,1400.4222266423405,1399.40361681662,-2.668988066757638,0.9878612175292688,10
