unit_number,max_cycle,total_rows,near_failure_rows,near_failure_pct,sensor_11,sensor_4,sensor_12,sensor_7,sensor_15,sensor_21
1,192,192,31,16.1,47.5140625,1407.2621354166668,521.4594270833334,553.4394270833333,8.436554687500001,23.306309895833333
2,287,287,31,10.8,47.38951219512195,1404.2658536585366,521.8116027874564,553.8534843205575,8.423983275261325,23.338996864111497
3,179,179,31,17.3,47.42703910614525,1405.6289944134078,521.7739664804469,553.8000558659219,8.430236312849162,23.3219312849162
4,189,189,31,16.4,47.51513227513228,1408.2539153439152,521.5010052910053,553.4430158730158,8.439302645502645,23.294501587301585
5,269,269,31,11.5,47.40226765799256,1404.87843866171,521.8664312267658,553.882342007435,8.425968029739776,23.336284386617102
6,188,188,31,16.5,47.71037234042553,1413.8761170212767,520.9257978723405,552.7905319148936,8.45830585106383,23.23511595744681
7,259,259,31,12.0,47.466563706563704,1406.577335907336,521.653474903475,553.6503088803089,8.433265250965253,23.31066756756757
8,150,150,31,20.7,47.7126,1413.9699333333333,520.8988666666667,552.7426,8.463234,23.228078
9,201,201,31,15.4,47.343283582089555,1403.030646766169,522.031592039801,554.0740298507463,8.419437810945274,23.353425870646767
10,222,222,31,14.0,47.398108108108104,1404.4915765765766,521.7451351351351,553.842072072072,8.423276576576576,23.343227477477477
11,240,240,31,12.9,47.42158333333334,1404.5196666666668,521.8084583333333,553.8234166666666,8.427015,23.337258333333335
12,170,170,31,18.2,47.680470588235295,1413.2144705882351,521.0049411764705,552.9324117647059,8.457031176470588,23.245056470588235
13,163,163,31,19.0,47.63006134969325,1412.1733128834355,521.219509202454,553.06,8.450279141104295,23.259995705521472
14,180,180,31,17.2,47.662055555555554,1412.7483333333334,521.1261666666667,553.0177777777777,8.457593888888889,23.242447222222225
15,207,207,31,15.0,47.417294685990335,1404.025652173913,521.7796618357488,553.7991304347826,8.425339130434782,23.338719806763283
16,209,209,31,14.8,47.740526315789474,1414.986937799043,520.8301435406698,552.6481818181818,8.469078468899522,23.216673684210527
17,276,276,31,11.2,47.40952898550725,1404.9502536231885,521.8194565217392,553.8567753623189,8.425348913043479,23.329659782608697
18,195,195,31,15.9,47.38466666666667,1404.0321025641026,521.8794871794872,553.9221025641026,8.424688717948717,23.33736
19,158,158,31,19.6,47.72550632911393,1414.4455063291139,520.9097468354431,552.7451265822784,8.45882088607595,23.230122151898733
20,234,234,31,13.2,47.66837606837607,1412.7037606837607,521.0747435897437,552.9424358974359,8.45674358974359,23.246092735042733
21,195,195,31,15.9,47.57666666666667,1409.4989743589742,521.3231282051282,553.3046666666667,8.445917948717948,23.2809358974359
22,202,202,31,15.3,47.74787128712871,1415.3277227722772,520.7895544554456,552.7149504950495,8.467237623762376,23.225750495049503
23,168,168,31,18.5,47.65702380952381,1412.5258333333334,521.0586904761905,552.9961904761905,8.454255357142857,23.251591666666666
24,147,147,31,21.1,47.494897959183675,1407.8051020408163,521.48537414966,553.4562585034014,8.439056462585034,23.30336462585034
25,230,230,31,13.5,47.61452173913044,1411.484,521.2174782608696,553.088347826087,8.45056652173913,23.257183913043477
26,199,199,31,15.6,47.648693467336685,1413.0129648241207,521.1036180904522,553.0136683417086,8.459782914572864,23.249468844221106
27,156,156,31,19.9,47.59205128205128,1410.6025641025642,521.3141025641025,553.2146153846154,8.449076923076923,23.27396794871795
28,165,165,31,18.8,47.396484848484846,1403.6757575757576,521.8264848484848,553.8291515151515,8.424973333333334,23.346466666666664
29,163,163,31,19.0,47.5901226993865,1411.4108588957056,521.2520858895705,553.1800613496932,8.45207791411043,23.273828220858896
30,194,194,31,16.0,47.39,1404.0103092783504,521.8174226804124,553.8709278350516,8.421309278350515,23.344907216494846
31,234,234,31,13.2,47.428333333333335,1405.2348717948719,521.6930341880342,553.712094017094,8.426838461538463,23.341657264957263
32,191,191,31,16.2,47.71146596858638,1414.1961256544503,520.9743979057591,552.7759685863874,8.461133507853404,23.228667015706808
33,200,200,31,15.5,47.39135,1404.3004999999998,521.8456,553.79255,8.423916,23.3468855
34,195,195,31,15.9,47.56676923076923,1410.216923076923,521.3243076923077,553.2514358974358,8.448465641025642,23.263641025641025
35,181,181,31,17.1,47.56723756906077,1409.4250828729282,521.2939779005525,553.2553038674033,8.444009392265194,23.280433701657458
36,158,158,31,19.6,47.672974683544304,1412.75917721519,521.0483544303797,552.948417721519,8.455275949367088,23.25520253164557
37,170,170,31,18.2,47.64176470588235,1411.1590588235294,521.1498823529412,553.0601176470589,8.451435294117646,23.25448588235294
38,194,194,31,16.0,47.63536082474227,1412.131030927835,521.1434536082475,553.064587628866,8.455423711340206,23.25702525773196
39,128,128,31,24.2,47.69140625,1414.026171875,520.953515625,552.838828125,8.46106953125,23.24256953125
