feature,gain_importance,perm_importance_mean,perm_importance_std
time_in_cycles,0.4002524903136984,0.43752443381085254,0.003962954659335169
pca_score_1,0.21549907238447796,0.17646954953384383,0.0015751237570406447
sensor_4_min20,0.037951933149811504,0.05978447502035826,0.000574501862160621
sensor_14,0.025239556457012476,0.04886985623570241,0.0006577352645840243
baseline_deviation,0.09328745135847141,0.04368227241195717,0.0008426482163072823
sensor_12_std20,0.015147137983534545,0.025447197504642572,0.00035811577340712263
sensor_11_slope20,0.013750665248515618,0.023915292074740302,0.00046957727104292996
sensor_11_std20,0.011391003278832875,0.017726401621533893,0.00028728369419813446
sensor_4_std20,0.010831454908671604,0.017685672489043135,0.00013336795735372425
sensor_12_slope20,0.010335295734620803,0.014749657223075707,0.00023987395320567036
time_since_anomaly_s11,0.008855092758490914,0.013181366402446427,5.680932506037991e-05
sensor_11,0.04032408063223214,0.012131562753689451,0.00018997396369826574
sensor_11_lag1,0.022020013294937208,0.008741444099379936,5.456825124415329e-05
sensor_4_slope20,0.006898843187252628,0.008602680980000965,9.023513451410461e-05
sensor_4,0.014258840407054524,0.007219821485039612,0.00012588580410525344
sensor_12,0.007299595904133362,0.005403690196074074,8.348245200238242e-05
sensor_4_x_sensor_11,0.007777348957815123,0.005058041178390105,6.6368753144785e-05
sensor_12_lag1,0.005242118379329469,0.004954278221343445,8.403041626420368e-05
sensor_4_lag1,0.006416091118214196,0.004923415884670978,4.7085912733408026e-05
sensor_12_lag10,0.0037999853411850655,0.004122448845041227,3.750426188721551e-05
sensor_4_lag10,0.0034732834953283974,0.003762364945364793,6.123364269249479e-05
sensor_12_lag5,0.003261456930573122,0.0036684369527542502,5.712876640660544e-05
sensor_11_lag5,0.003281217528192068,0.0034589329076932128,4.838854847896711e-05
sensor_15,0.003144799571866286,0.0031685157242459018,5.3753853375882395e-05
sensor_11_lag10,0.00307094850718791,0.0031428690817215444,3.30653164992123e-05
sensor_8,0.0022733377223726134,0.0028867481682857354,5.141229960182814e-05
sensor_7,0.0032478228393476487,0.0028593676483344987,5.339953433331897e-05
sensor_4_lag5,0.002978309526561901,0.002823851901576746,4.804846465955256e-05
sensor_21,0.002322500134488066,0.002161372627607272,3.0358176332364115e-05
pca_score_2,0.0023476152245573145,0.002143559088784164,3.918189800538846e-05
sensor_3,0.0021518602226509014,0.002142706699830166,4.5633668836354744e-05
sensor_13,0.0020236275356584487,0.0019779578386418307,2.902566409189801e-05
sensor_2,0.002041788054846625,0.001701779531358283,4.201099157881818e-05
sensor_20,0.0018336533828728966,0.0014788646599024347,3.776315588734859e-05
setting1_change,0.0018659215110719447,0.001400652463162233,7.733459500418228e-06
operational_setting_1,0.0016264822946945171,0.0010972914947625866,7.492706677782662e-06
operational_setting_2,0.0011749665899313806,0.0008442169580407333,1.923464257065263e-05
setting2_change,0.0008446769899486443,0.0005905483181962046,1.3497288834474209e-05
sensor_17,0.0004512326409738245,0.00036086955425260745,9.678007600221404e-06
sensor_6,6.428498583689455e-06,5.088597412172824e-06,3.6772916032577135e-07
sensor_10,0.0,0.0,0.0
operational_setting_3,0.0,0.0,0.0
sensor_1,0.0,0.0,0.0
sensor_18,0.0,0.0,0.0
sensor_16,0.0,0.0,0.0
sensor_19,0.0,0.0,0.0
sensor_5,0.0,0.0,0.0
