sensor,std,variance,corr_with_RUL,abs_corr_with_RUL,low_variance
sensor_11,0.2670873986396874,0.07133567851211528,-0.6962281014554194,0.6962281014554194,False
sensor_4,9.000604780543735,81.01088641554674,-0.6789482333860462,0.6789482333860462,False
sensor_12,0.7375533922097044,0.543985006360042,0.67198310361329,0.67198310361329,False
sensor_7,0.885092257663408,0.7833883045757087,0.6572226620548836,0.6572226620548836,False
sensor_15,0.03750503795196683,0.0014066278717784722,-0.6426670441973744,0.6426670441973744,False
sensor_21,0.10825087474491232,0.011718251883038697,0.6356620421802919,0.6356620421802919,False
sensor_20,0.18074642787366235,0.03266927118908903,0.6294284994377345,0.6294284994377345,False
sensor_2,0.5000532700606122,0.25005327289831153,-0.6064839743783383,0.6064839743783383,False
sensor_17,1.5487630246142414,2.398666906412253,-0.6061535537829665,0.6061535537829665,False
sensor_3,6.131149519690787,37.590994432804564,-0.5845203909175872,0.5845203909175872,False
sensor_8,0.0709854788909189,0.005038938213373093,-0.5639684065771841,0.5639684065771841,False
sensor_13,0.07191891569858286,0.005172330435259867,-0.562568825149556,0.562568825149556,False
sensor_9,22.08287952506627,487.6535681185912,-0.3901015749180711,0.3901015749180711,False
sensor_14,19.076175975953127,363.9004898655313,-0.3067688702575846,0.3067688702575846,False
sensor_6,0.0013889849127070525,1.9292790877278185e-06,-0.12834844847413882,0.12834844847413882,True
sensor_5,3.3947001929194767e-12,1.1523989399807533e-23,1.2518718931402447e-15,1.2518718931402447e-15,True
sensor_16,1.5564316238059236e-14,2.4224793995831438e-28,-5.849749030317913e-16,5.849749030317913e-16,True
sensor_1,6.537151601226413e-11,4.273435105741705e-21,,,True
sensor_10,4.660829215684185e-13,2.172332897777525e-25,,,True
sensor_18,0.0,0.0,,,True
sensor_19,0.0,0.0,,,True
